FieldID	name	fieldType	IndexType	unitSet	unitModel	unitMetric	unitEnglish	SLower	SUpper	HLower	HUpper	Source	Type	ReadOnly	HasHelp	Access	Transfer	D1 type	D1 set	D1 model	D1 metric	D1 English	D1 BSL	D1 BSU	D1 BHL	D1 BHU	D1 source	D2 type	D2 set	D2 model	D2 metric	D2 English	D2 BSL	D2 BSU	D2 BHL	D2 BHU	D2 source	D3 type	D3 set	D3 model	D3 metric	D3 English	D3 BSL	D3 BSU	D3 BHL	D3 BHU	D3 source
kPlantGrowthOptionsOptimalNitrogenUptake	Act as if nitrogen uptake were optimal	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsOptimalNitrogenUptake]	1 MFD	0 Undefined										
kPlantGrowthOptionsOptimalPhosphorusUptake	Act as if phosphorus uptake were optimal	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsOptimalPhosphorusUptake]	1 MFD	0 Undefined
kPlantGrowthOptionsOptimalRadiation	Use maximum possible radiation to calculate photosynthesis	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsOptimalRadiation]	1 MFD	0 Undefined
kPlantGrowthOptionsOptimalSoilStrengthForRootGrowth	Act as if soil strength were optimal for root growth	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsOptimalSoilStrengthForRootGrowth]	1 MFD	0 Undefined
kPlantGrowthOptionsOptimalTemperature	Act as if temperature were optimal	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsOptimalTemperature]	1 MFD	0 Undefined
kPlantGrowthOptionsOptimalWaterUptake	Act as if water uptake were optimal	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsOptimalWaterUptake]	1 MFD	0 Undefined
kPlantHeatUnitFactorForLAIAndHeight	Heat unit factor for LAI and height	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	1	-1000000	1000000	0 No source	4 Output variable	TRUE	FALSE	development.heatUnitFactorForLAIAndHeight	1 MFD	0 Undefined
kPlantHeatUnitFactorParamsForLAI	S Curve - effect of heat unit index on fraction of max leaf area index possible	1 Single	4 S curve	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	1 Epic	1 Parameter	FALSE	FALSE	params.heatUnitFactorParamsForLAI	3 S curve	0 Undefined
kPlantHeatUnitIndex	Heat unit index	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	2	0	1000000	2 KfSoft	4 Output variable	TRUE	TRUE	development.heatUnitIndex	1 MFD	0 Undefined
kPlantHeatUnitIndexAtEndOfVegetativePhase	Heat unit index when vegetative phase ends	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	3 Unit set	1 Parameter	FALSE	FALSE	params.heatUnitIndexAtEndOfVegetativePhase	1 MFD	0 Undefined
kPlantHeatUnitIndexAtStartOfStorageOrganAllocation	Heat unit index at start of storage organ allocation	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	3 Unit set	4 Output variable	FALSE	FALSE	params.heatUnitIndexAtStartOfStorageOrganAllocation	1 MFD	0 Undefined
kPlantHeatUnitIndexWhenReproductiveAllocationStarted	Heat unit index when reproductive allocation started	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	3 Unit set	4 Output variable	TRUE	FALSE	development.heatUnitIndexWhenReproductiveAllocationStarted	1 MFD	0 Undefined
kPlantHeight_m	Plant height	1 Single	1 None	2 kLength	4 m	4 m	7 ft	0	10	0	1000000	3 Unit set	2 State variable	TRUE	FALSE	biomass.height_m	1 MFD	0 Undefined
kPlantHoursAboveMinDayLengthWhenWinterGrowthCanOccur_hr	Hours above minimum day length for year when winter growth can occur	1 Single	1 None	24 kNonChangingUnitHours	1 hours	1 hours	1 hours	0	24	0	24	3 Unit set	1 Parameter	FALSE	FALSE	params.hoursAboveMinDayLengthWhenWinterGrowthCanOccur_hr	1 MFD	0 Undefined
kPlantIsDead	Plant is dead	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	2 State variable	FALSE	FALSE	development.isDead	1 MFD	0 Undefined
kPlantIsDormant	Plant is in dormancy	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	2 State variable	FALSE	FALSE	development.isDormant	1 MFD	0 Undefined
kPlantIsLegume	Plant is a legume	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	4 Output variable	FALSE	FALSE	params.isLegume	1 MFD	0 Undefined
